"filename", "language", "CMake", "C++", "HTML", "JSON", "Markdown", "YAML", "Dart", "Swift", "JavaScript", "XML", "Java Properties", "comment", "blank", "total"
"c:\Users\aa048\test_pro\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 11, 7, 30
"c:\Users\aa048\test_pro\web\index.html", "HTML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Users\aa048\test_pro\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"c:\Users\aa048\test_pro\windows\CMakeLists.txt", "CMake", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Users\aa048\test_pro\windows\flutter\CMakeLists.txt", "CMake", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\aa048\test_pro\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 33
"c:\Users\aa048\test_pro\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\aa048\test_pro\windows\flutter\generated_plugins.cmake", "CMake", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\aa048\test_pro\windows\runner\CMakeLists.txt", "CMake", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\aa048\test_pro\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\aa048\test_pro\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\aa048\test_pro\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\aa048\test_pro\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\aa048\test_pro\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\aa048\test_pro\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\aa048\test_pro\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\aa048\test_pro\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 471, 573, 19, 344, 33, 103, 10626, 79, 151, 508, 8, 488, 1187, 14590
